Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-10-17 16:00:00+02:00;3212,989501953125;2025-10-17 18:00:00+02:00;3283,4592952356697;2878,649674287878;5,757299348575756;ATR stop;-68,89409060065344;14324,354280838737;Short;2;5;2
2025-10-18 01:00:00+02:00;3287,173583984375;2025-10-18 06:00:00+02:00;3297,909423828125;2864,8708561677477;5,729741712335495;Time exit (5 bars);-15,086349721932496;14309,267931116805;Short;2;5;5
2025-10-21 15:00:00+02:00;3329,14599609375;2025-10-21 16:00:00+02:00;3367,7028578538443;2861,853586223361;5,723707172446723;ATR stop;-38,86857172062707;14270,399359396179;Short;2;5;1
2025-10-21 22:00:00+02:00;3412,18994140625;2025-10-22 03:00:00+02:00;3335,635986328125;2854,0798718792357;5,708159743758472;Time exit (5 bars);58,324354873870945;14328,723714270049;Short;2;5;5
2025-10-22 07:00:00+02:00;3327,96728515625;2025-10-22 12:00:00+02:00;3306,345947265625;2865,74474285401;5,73148948570802;Time exit (5 bars);12,886853209514623;14341,610567479564;Short;2;5;5
2025-10-22 16:00:00+02:00;3306,370849609375;2025-10-22 21:00:00+02:00;3272,7939453125;2868,3221134959126;5,736644226991825;Time exit (5 bars);23,39178131209759;14365,00234879166;Short;2;5;5
2025-10-24 09:00:00+02:00;3399,776611328125;2025-10-24 14:00:00+02:00;3408,119140625;2873,000469758332;5,746000939516665;Time exit (5 bars);-12,79590254453164;14352,206446247128;Short;2;5;5
2025-10-29 10:00:00+01:00;3435,606201171875;2025-10-29 15:00:00+01:00;3420,905029296875;2870,4412892494256;5,7408825784988515;Time exit (5 bars);6,541913609247722;14358,748359856376;Short;2;5;5
2025-10-29 19:00:00+01:00;3390,79296875;2025-10-30 00:00:00+01:00;3364,347900390625;2871,7496719712753;5,743499343942551;Time exit (5 bars);16,65350840209196;14375,401868258468;Short;2;5;5
2025-10-30 04:00:00+01:00;3385,544677734375;2025-10-30 09:00:00+01:00;3375,488525390625;2875,0803736516937;5,750160747303387;Time exit (5 bars);2,789749072263766;14378,191617330733;Short;2;5;5
